Day,Hour,Region,% of Total Trip Count,Trip Count,ID
1,3,North West,5.45%,405,9
1,3,South,10.30%,766,3
1,3,South East,16.11%,1198,7
1,3,South West,6.40%,476,6
1,3,West,4.36%,324,5
1,2,CBD,0.93%,75,10
1,2,Central,26.65%,2144,0
1,2,Central East,6.07%,488,1
1,2,East,9.19%,739,4
1,2,North,6.23%,501,2
1,2,North East,6.44%,518,8
1,2,North West,5.35%,430,9
1,2,South,10.55%,849,3
1,2,South East,16.66%,1340,7
1,2,South West,7.58%,610,6
1,2,West,4.35%,350,5
1,1,CBD,0.79%,85,10
1,1,Central,26.50%,2844,0
1,1,Central East,6.80%,730,1
1,1,East,9.00%,966,4
1,1,North,6.92%,743,2
1,1,North East,6.88%,738,8
1,1,North West,6.03%,647,9
1,1,South,9.61%,1032,3
1,1,South East,16.51%,1772,7
1,1,South West,6.80%,730,6
1,1,West,4.16%,447,5
1,0,CBD,0.99%,161,10
1,0,Central,25.22%,4089,0
1,0,Central East,6.00%,973,1
1,0,East,9.53%,1545,4
1,0,North,7.12%,1154,2
1,0,North East,6.69%,1085,8
1,0,North West,6.11%,991,9
1,0,South,10.05%,1629,3
1,0,South East,15.83%,2567,7
1,0,South West,7.55%,1225,6
1,0,West,4.91%,797,5
2,23,CBD,1.08%,305,10
2,23,Central,24.17%,6818,0
2,23,Central East,6.01%,1695,1
2,23,East,11.34%,3199,4
2,23,North,7.12%,2007,2
2,23,North East,7.35%,2072,8
2,23,North West,7.00%,1974,9
2,23,South,8.41%,2372,3
2,23,South East,14.74%,4157,7
2,23,South West,8.21%,2316,6
2,23,West,4.57%,1289,5
2,22,CBD,1.15%,344,10
2,22,Central,23.05%,6909,0
2,22,Central East,5.91%,1772,1
2,22,East,12.71%,3808,4
2,22,North,7.45%,2232,2
2,22,North East,7.66%,2296,8
2,22,North West,7.00%,2099,9
2,22,South,7.65%,2293,3
2,22,South East,14.40%,4316,7
2,22,South West,8.10%,2429,6
2,22,West,4.92%,1474,5
2,21,CBD,1.34%,422,10
2,21,Central,23.54%,7436,0
2,21,Central East,5.61%,1773,1
2,21,East,12.98%,4101,4
2,21,North,7.29%,2303,2
2,21,North East,7.67%,2423,8
2,21,North West,7.05%,2227,9
2,21,South,7.98%,2520,3
2,21,South East,14.17%,4475,7
2,21,South West,7.91%,2500,6
2,21,West,4.46%,1409,5
2,20,CBD,1.66%,541,10
2,20,Central,24.73%,8076,0
2,20,Central East,5.09%,1663,1
2,20,East,12.88%,4208,4
2,20,North,6.79%,2219,2
2,20,North East,6.76%,2209,8
2,20,North West,6.40%,2089,9
2,20,South,8.84%,2888,3
2,20,South East,14.55%,4753,7
2,20,South West,7.96%,2600,6
2,20,West,4.33%,1413,5
2,19,CBD,1.65%,535,10
2,19,Central,26.21%,8513,0
2,19,Central East,4.79%,1555,1
2,19,East,12.58%,4087,4
2,19,North,6.46%,2098,2
2,19,North East,5.29%,1719,8
2,19,North West,5.62%,1826,9
2,19,South,9.58%,3110,3
2,19,South East,14.90%,4838,7
2,19,South West,9.15%,2973,6
2,19,West,3.77%,1225,5
2,18,CBD,1.77%,527,10
2,18,Central,27.16%,8085,0
2,18,Central East,4.84%,1440,1
2,18,East,12.84%,3824,4
2,18,North,5.91%,1759,2
2,18,North East,5.03%,1498,8
2,18,North West,5.22%,1555,9
2,18,South,10.50%,3127,3
2,18,South East,14.06%,4186,7
2,18,South West,9.01%,2682,6
2,18,West,3.66%,1090,5
2,17,CBD,1.73%,489,10
2,17,Central,26.49%,7488,0
2,17,Central East,4.81%,1359,1
2,17,East,13.95%,3942,4
2,17,North,6.46%,1825,2
2,17,North East,5.07%,1432,8
2,17,North West,5.18%,1464,9
2,17,South,10.16%,2873,3
2,17,South East,14.02%,3963,7
2,17,South West,8.73%,2467,6
2,17,West,3.41%,965,5
2,16,CBD,1.84%,527,10
2,16,Central,27.20%,7796,0
2,16,Central East,5.01%,1436,1
2,16,East,12.90%,3697,4
2,16,North,5.81%,1666,2
2,16,North East,4.76%,1365,8
2,16,North West,4.74%,1358,9
2,16,South,10.61%,3043,3
2,16,South East,14.09%,4039,7
2,16,South West,9.91%,2841,6
2,16,West,3.14%,899,5
2,15,CBD,2.15%,670,10
2,15,Central,29.19%,9085,0
2,15,Central East,4.95%,1540,1
2,15,East,11.63%,3619,4
2,15,North,5.24%,1630,2
2,15,North East,4.19%,1305,8
2,15,North West,4.11%,1278,9
2,15,South,10.79%,3359,3
2,15,South East,14.38%,4477,7
2,15,South West,10.15%,3158,6
2,15,West,3.24%,1007,5
2,14,CBD,2.57%,865,10
2,14,Central,29.71%,9986,0
2,14,Central East,5.00%,1682,1
2,14,East,11.09%,3728,4
2,14,North,4.46%,1499,2
2,14,North East,3.76%,1263,8
2,14,North West,3.87%,1300,9
2,14,South,11.59%,3897,3
2,14,South East,13.77%,4628,7
2,14,South West,10.75%,3615,6
2,14,West,3.43%,1152,5
2,13,CBD,2.72%,897,10
2,13,Central,29.56%,9751,0
2,13,Central East,5.06%,1669,1
2,13,East,10.64%,3510,4
2,13,North,4.13%,1362,2
2,13,North East,3.61%,1190,8
2,13,North West,3.49%,1151,9
2,13,South,12.27%,4046,3
2,13,South East,13.90%,4586,7
2,13,South West,11.18%,3689,6
2,13,West,3.44%,1136,5
2,12,CBD,2.74%,878,10
2,12,Central,32.57%,10431,0
2,12,Central East,4.51%,1445,1
2,12,East,9.81%,3143,4
2,12,North,3.73%,1194,2
2,12,North East,3.12%,998,8
2,12,North West,3.57%,1144,9
2,12,South,12.59%,4033,3
2,12,South East,13.68%,4380,7
2,12,South West,10.17%,3257,6
2,12,West,3.51%,1125,5
2,11,CBD,2.94%,911,10
2,11,Central,32.77%,10153,0
2,11,Central East,3.99%,1237,1
2,11,East,9.64%,2986,4
2,11,North,3.53%,1095,2
2,11,North East,2.73%,846,8
2,11,North West,3.09%,958,9
2,11,South,13.50%,4182,3
2,11,South East,13.73%,4255,7
2,11,South West,10.81%,3349,6
2,11,West,3.25%,1008,5
2,10,CBD,3.47%,1092,10
2,10,Central,30.98%,9739,0
2,10,Central East,4.15%,1305,1
2,10,East,9.42%,2961,4
2,10,North,3.49%,1096,2
2,10,North East,2.29%,721,8
2,10,North West,3.22%,1013,9
2,10,South,14.27%,4488,3
2,10,South East,13.41%,4217,7
2,10,South West,11.65%,3664,6
2,10,West,3.64%,1144,5
2,9,CBD,4.15%,1393,10
2,9,Central,28.51%,9567,0
2,9,Central East,4.63%,1554,1
2,9,East,8.21%,2754,4
2,9,North,3.81%,1278,2
2,9,North East,2.00%,671,8
2,9,North West,2.80%,938,9
2,9,South,14.70%,4933,3
2,9,South East,12.55%,4210,7
2,9,South West,13.92%,4671,6
2,9,West,4.73%,1587,5
2,8,CBD,4.14%,1387,10
2,8,Central,25.62%,8589,0
2,8,Central East,4.76%,1595,1
2,8,East,10.76%,3608,4
2,8,North,5.33%,1788,2
2,8,North East,1.89%,632,8
2,8,North West,2.66%,893,9
2,8,South,12.89%,4321,3
2,8,South East,11.90%,3988,7
2,8,South West,13.55%,4543,6
2,8,West,6.51%,2181,5
2,7,CBD,2.85%,673,10
2,7,Central,21.08%,4981,0
2,7,Central East,4.73%,1117,1
2,7,East,15.49%,3659,4
2,7,North,6.48%,1531,2
2,7,North East,2.70%,639,8
2,7,North West,3.23%,762,9
2,7,South,10.97%,2593,3
2,7,South East,11.28%,2666,7
2,7,South West,12.37%,2922,6
2,7,West,8.82%,2084,5
2,6,CBD,2.17%,318,10
2,6,Central,18.13%,2660,0
2,6,Central East,3.79%,556,1
2,6,East,22.22%,3259,4
2,6,North,6.25%,917,2
2,6,North East,2.81%,412,8
2,6,North West,3.28%,481,9
2,6,South,10.46%,1534,3
2,6,South East,11.32%,1661,7
2,6,South West,11.15%,1636,6
2,6,West,8.43%,1236,5
2,5,CBD,1.49%,119,10
2,5,Central,18.35%,1465,0
2,5,Central East,4.41%,352,1
2,5,East,28.50%,2275,4
2,5,North,5.81%,464,2
2,5,North East,3.72%,297,8
2,5,North West,4.05%,323,9
2,5,South,8.42%,672,3
2,5,South East,11.21%,895,7
2,5,South West,8.07%,644,6
2,5,West,5.98%,477,5
2,4,CBD,1.14%,70,10
2,4,Central,20.54%,1256,0
2,4,Central East,5.09%,311,1
2,4,East,22.42%,1371,4
2,4,North,6.77%,414,2
2,4,North East,4.32%,264,8
2,4,North West,4.82%,295,9
2,4,South,8.36%,511,3
2,4,South East,13.10%,801,7
2,4,South West,7.65%,468,6
2,4,West,5.77%,353,5
2,3,CBD,1.03%,70,10
2,3,Central,25.96%,1770,0
2,3,Central East,5.63%,384,1
2,3,East,13.17%,898,4
2,3,North,6.66%,454,2
2,3,North East,5.38%,367,8
2,3,North West,6.19%,422,9
2,3,South,9.96%,679,3
2,3,South East,15.75%,1074,7
2,3,South West,6.34%,432,6
2,3,West,3.92%,267,5
2,2,CBD,1.03%,80,10
2,2,Central,26.00%,2016,0
2,2,Central East,6.47%,502,1
2,2,East,9.30%,721,4
2,2,North,5.91%,458,2
2,2,North East,6.86%,532,8
2,2,North West,6.00%,465,9
2,2,South,9.58%,743,3
2,2,South East,17.32%,1343,7
2,2,South West,7.14%,554,6
2,2,West,4.38%,340,5
2,1,CBD,1.33%,146,10
2,1,Central,26.03%,2858,0
2,1,Central East,6.18%,678,1
2,1,East,9.15%,1005,4
2,1,North,7.00%,769,2
2,1,North East,7.08%,777,8
2,1,North West,6.21%,682,9
2,1,South,8.74%,960,3
2,1,South East,16.92%,1857,7
2,1,South West,7.17%,787,6
2,1,West,4.18%,459,5
2,0,CBD,1.44%,236,10
2,0,Central,25.27%,4152,0
2,0,Central East,6.76%,1111,1
2,0,East,9.72%,1598,4
2,0,North,6.97%,1145,2
2,0,North East,6.55%,1076,8
2,0,North West,6.46%,1062,9
2,0,South,8.48%,1394,3
