Day,Hour,Region,% of Total Sum of Trip Count,Sum of Trip Count,ID,,
5,6,Central East,0.0532128,824,1,,
5,6,East,0.1891508,2929,4,,
5,6,North,0.0838231,1298,2,,
5,6,North East,0.0735551,1139,8,,
5,6,North West,0.0779464,1207,9,,
5,6,South,0.0664514,1029,3,,
5,6,South East,0.1343881,2081,7,,
5,6,South West,0.0862125,1335,6,,
5,6,West,0.0587665,910,5,,
1,7,CBD,0.0071797,195,10,,
1,7,Central,0.1885125,5120,0,,
1,7,Central East,0.0555596,1509,1,,
1,7,East,0.1530191,4156,4,,
1,7,North,0.0837261,2274,2,,
1,7,North East,0.0662739,1800,8,,
1,7,North West,0.0636230,1728,9,,
1,7,South,0.0805596,2188,3,,
1,7,South East,0.1453976,3949,7,,
1,7,South West,0.0886230,2407,6,,
1,7,West,0.0675258,1834,5,,
2,7,CBD,0.0066026,156,10,,
2,7,Central,0.1980785,4680,0,,
2,7,Central East,0.0538367,1272,1,,
2,7,East,0.1513523,3576,4,,
2,7,North,0.0746180,1763,2,,
2,7,North East,0.0634444,1499,8,,
2,7,North West,0.0646718,1528,9,,
2,7,South,0.0801202,1893,3,,
2,7,South East,0.1425911,3369,7,,
2,7,South West,0.0953993,2254,6,,
2,7,West,0.0692851,1637,5,,
3,7,CBD,0.0081200,137,10,,
3,7,Central,0.1877074,3167,0,,
3,7,Central East,0.0518018,874,1,,
3,7,East,0.1676743,2829,4,,
3,7,North,0.0833333,1406,2,,
3,7,North East,0.0586178,989,8,,
3,7,North West,0.0672712,1135,9,,
3,7,South,0.0784139,1323,3,,
3,7,South East,0.1419512,2395,7,,
3,7,South West,0.0865932,1461,6,,
3,7,West,0.0685159,1156,5,,
4,7,CBD,0.0062522,90,10,,
4,7,Central,0.1898576,2733,0,,
4,7,Central East,0.0495311,713,1,,
4,7,East,0.1747829,2516,4,,
4,7,North,0.0732893,1055,2,,
4,7,North East,0.0615491,886,8,,
4,7,North West,0.0594651,856,9,,
4,7,South,0.0787774,1134,3,,
4,7,South East,0.1569295,2259,7,,
4,7,South West,0.0884335,1273,6,,
4,7,West,0.0611323,880,5,,
5,7,CBD,0.0047959,113,10,,
5,7,Central,0.1888210,4449,0,,
5,7,Central East,0.0602665,1420,1,,
5,7,East,0.1459129,3438,4,,
5,7,North,0.0765215,1803,2,,
5,7,North East,0.0686699,1618,8,,
5,7,North West,0.0624310,1471,9,,
5,7,South,0.0786436,1853,3,,
5,7,South East,0.1505390,3547,7,,
5,7,South West,0.0971055,2288,6,,
5,7,West,0.0662932,1562,5,,
1,8,CBD,0.0122148,417,10,,
1,8,Central,0.2230880,7616,0,,
1,8,Central East,0.0512903,1751,1,,
1,8,East,0.1322241,4514,4,,
1,8,North,0.0691584,2361,2,,
1,8,North East,0.0497964,1700,8,,
1,8,North West,0.0509095,1738,9,,
1,8,South,0.0992413,3388,3,,
1,8,South East,0.1458742,4980,7,,
1,8,South West,0.1013211,3459,6,,
1,8,West,0.0648818,2215,5,,
2,8,CBD,0.0110664,371,10,,
2,8,Central,0.2249366,7541,0,,
2,8,Central East,0.0497241,1667,1,,
2,8,East,0.1290977,4328,4,,
2,8,North,0.0694705,2329,2,,
2,8,North East,0.0517226,1734,8,,
2,8,North West,0.0533930,1790,9,,
2,8,South,0.0967934,3245,3,,
2,8,South East,0.1472931,4938,7,,
2,8,South West,0.1028486,3448,6,,
2,8,West,0.0636540,2134,5,,
3,8,CBD,0.0062190,139,10,,
3,8,Central,0.2078207,4645,0,,
3,8,Central East,0.0525704,1175,1,,
3,8,East,0.1352512,3023,4,,
3,8,North,0.0778041,1739,2,,
3,8,North East,0.0598184,1337,8,,
3,8,North West,0.0645161,1442,9,,
3,8,South,0.0783410,1751,3,,
3,8,South East,0.1507763,3370,7,,
3,8,South West,0.0987875,2208,6,,
3,8,West,0.0680954,1522,5,,
4,8,CBD,0.0048882,92,10,,
4,8,Central,0.2054089,3866,0,,
4,8,Central East,0.0591361,1113,1,,
4,8,East,0.1510547,2843,4,,
4,8,North,0.0697625,1313,2,,
4,8,North East,0.0624303,1175,8,,
4,8,North West,0.0591361,1113,9,,
4,8,South,0.0772010,1453,3,,
4,8,South East,0.1654004,3113,7,,
4,8,South West,0.0919186,1730,6,,
4,8,West,0.0536635,1010,5,,
5,8,CBD,0.0115416,384,10,,
5,8,Central,0.2205224,7337,0,,
5,8,Central East,0.0502540,1672,1,,
5,8,East,0.1395510,4643,4,,
5,8,North,0.0642001,2136,2,,
5,8,North East,0.0508852,1693,8,,
5,8,North West,0.0486610,1619,9,,
5,8,South,0.1000571,3329,3,,
5,8,South East,0.1493793,4970,7,,
5,8,South West,0.1012594,3369,6,,
5,8,West,0.0636891,2119,5,,
1,9,CBD,0.0177861,626,10,,
1,9,Central,0.2572167,9053,0,,
1,9,Central East,0.0507728,1787,1,,
1,9,East,0.1103534,3884,4,,
1,9,North,0.0465962,1640,2,,
1,9,North East,0.0412547,1452,8,,
1,9,North West,0.0465110,1637,9,,
1,9,South,0.1126548,3965,3,,
1,9,South East,0.1498182,5273,7,,
1,9,South West,0.1132231,3985,6,,
1,9,West,0.0538129,1894,5,,
2,9,CBD,0.0167481,562,10,,
2,9,Central,0.2581059,8661,0,,
2,9,Central East,0.0501550,1683,1,,
2,9,East,0.1069853,3590,4,,
2,9,North,0.0475325,1595,2,,
2,9,North East,0.0424663,1425,8,,
2,9,North West,0.0480391,1612,9,,
2,9,South,0.1107701,3717,3,,
2,9,South East,0.1504053,5047,7,,
2,9,South West,0.1152998,3869,6,,
2,9,West,0.0534927,1795,5,,
3,9,CBD,0.0065442,166,10,,
3,9,Central,0.2355121,5974,0,,
3,9,Central East,0.0521959,1324,1,,
3,9,East,0.1249704,3170,4,,
3,9,North,0.0675708,1714,2,,
3,9,North East,0.0536545,1361,8,,
3,9,North West,0.0583458,1480,9,,
3,9,South,0.0882678,2239,3,,
3,9,South East,0.1564693,3969,7,,
3,9,South West,0.1040763,2640,6,,
3,9,West,0.0523930,1329,5,,
4,9,CBD,0.0040179,79,10,,
4,9,Central,0.2351236,4623,0,,
4,9,Central East,0.0633201,1245,1,,
4,9,East,0.1255722,2469,4,,
4,9,North,0.0638287,1255,2,,
4,9,North East,0.0546231,1074,8,,
4,9,North West,0.0538094,1058,9,,
4,9,South,0.0863595,1698,3,,
4,9,South East,0.1728715,3399,7,,
4,9,South West,0.0984640,1936,6,,
4,9,West,0.0420100,826,5,,
5,9,CBD,0.0173892,574,10,,
5,9,Central,0.2618680,8644,0,,
5,9,Central East,0.0501681,1656,1,,
5,9,East,0.1120301,3698,4,,
5,9,North,0.0475022,1568,2,,
5,9,North East,0.0446242,1473,8,,
5,9,North West,0.0479869,1584,9,,
5,9,South,0.1073344,3543,3,,
5,9,South East,0.1499894,4951,7,,
5,9,South West,0.1104244,3645,6,,
5,9,West,0.0506831,1673,5,,
1,10,CBD,0.0231614,730,10,,
1,10,Central,0.2848214,8977,0,,
1,10,Central East,0.0500666,1578,1,,
1,10,East,0.0968653,3053,4,,
1,10,North,0.0444191,1400,2,,
1,10,North East,0.0380735,1200,8,,
1,10,North West,0.0437210,1378,9,,
1,10,South,0.1118726,3526,3,,
1,10,South East,0.1479789,4664,7,,
1,10,South West,0.1132686,3570,6,,
1,10,West,0.0457516,1442,5,,
2,10,CBD,0.0210878,663,10,,
2,10,Central,0.2830153,8898,0,,
2,10,Central East,0.0492366,1548,1,,
2,10,East,0.0998092,3138,4,,
2,10,North,0.0440840,1386,2,,
2,10,North East,0.0376590,1184,8,,
2,10,North West,0.0444975,1399,9,,
2,10,South,0.1146947,3606,3,,
2,10,South East,0.1499364,4714,7,,
2,10,South West,0.1117048,3512,6,,
2,10,West,0.0442748,1392,5,,
3,10,CBD,0.0087405,246,10,,
3,10,Central,0.2702079,7605,0,,
3,10,Central East,0.0530112,1492,1,,
